waveform	[0]		[1]		[2]		[3]	
t0	2015-03-12  09:46:10,650132		2015-03-12  09:46:10,650132		2015-03-12  09:38:16,929437		2015-03-12  09:38:16,929437	
delta t	8,000000E-8		8,000000E-8		0,000100		0,000100	

time[0]	Y[0]	time[1]	Y[1]	time[2]	Y[2]	time[3]	Y[3]
2015-03-12  09:54:04,305258	-4,789109E-1	2015-03-12  09:54:04,305258	-4,843388E-3
2015-03-12  09:54:04,305258	-4,873194E-1	2015-03-12  09:54:04,305258	-4,003720E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-4,003720E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-4,003720E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,003720E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,003720E-3
2015-03-12  09:54:04,305259	-4,873194E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305259	-4,873194E-1	2015-03-12  09:54:04,305259	-4,003720E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305259	-4,873194E-1	2015-03-12  09:54:04,305259	-4,003720E-3
2015-03-12  09:54:04,305259	-4,873194E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305259	-4,873194E-1	2015-03-12  09:54:04,305259	-5,683055E-3
2015-03-12  09:54:04,305259	-4,957279E-1	2015-03-12  09:54:04,305259	-4,843388E-3
2015-03-12  09:54:04,305260	-4,873194E-1	2015-03-12  09:54:04,305260	-4,843388E-3
2015-03-12  09:54:04,305260	-4,873194E-1	2015-03-12  09:54:04,305260	-5,683055E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-5,683055E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-4,843388E-3
2015-03-12  09:54:04,305260	-4,873194E-1	2015-03-12  09:54:04,305260	-4,843388E-3
2015-03-12  09:54:04,305260	-4,789109E-1	2015-03-12  09:54:04,305260	-4,843388E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-5,683055E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-4,843388E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-5,683055E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-6,522723E-3
2015-03-12  09:54:04,305260	-4,957279E-1	2015-03-12  09:54:04,305260	-5,683055E-3
2015-03-12  09:54:04,305260	-4,873194E-1	2015-03-12  09:54:04,305260	-5,683055E-3
2015-03-12  09:54:04,305260	-4,873194E-1	2015-03-12  09:54:04,305260	-6,522723E-3
2015-03-12  09:54:04,305261	-4,957279E-1	2015-03-12  09:54:04,305261	-5,683055E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-4,843388E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-5,683055E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-6,522723E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-5,683055E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-5,683055E-3
2015-03-12  09:54:04,305261	-4,957279E-1	2015-03-12  09:54:04,305261	-6,522723E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-5,683055E-3
2015-03-12  09:54:04,305261	-4,957279E-1	2015-03-12  09:54:04,305261	-7,362391E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-5,683055E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-6,522723E-3
2015-03-12  09:54:04,305261	-4,873194E-1	2015-03-12  09:54:04,305261	-7,362391E-3
2015-03-12  09:54:04,305262	-4,957279E-1	2015-03-12  09:54:04,305262	-5,683055E-3
2015-03-12  09:54:04,305262	-4,957279E-1	2015-03-12  09:54:04,305262	-7,362391E-3
2015-03-12  09:54:04,305262	-4,957279E-1	2015-03-12  09:54:04,305262	-6,522723E-3
2015-03-12  09:54:04,305262	-4,957279E-1	2015-03-12  09:54:04,305262	-6,522723E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-6,522723E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-7,362391E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-7,362391E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-6,522723E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-7,362391E-3
2015-03-12  09:54:04,305262	-4,957279E-1	2015-03-12  09:54:04,305262	-6,522723E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-6,522723E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-7,362391E-3
2015-03-12  09:54:04,305262	-4,873194E-1	2015-03-12  09:54:04,305262	-7,362391E-3
2015-03-12  09:54:04,305263	-4,873194E-1	2015-03-12  09:54:04,305263	-7,362391E-3
2015-03-12  09:54:04,305263	-4,873194E-1	2015-03-12  09:54:04,305263	-6,522723E-3
